time,hy_grad,true_flux
4/1/17 0:00,0.071088435,-0.063456649
4/1/17 1:00,0.072891156,-0.064973424
4/1/17 2:00,0.069336735,-0.06176951
4/1/17 3:00,0.061343537,-0.054644514
4/1/17 4:00,0.062261905,-0.055379943
4/1/17 5:00,0.055340136,-0.049218541
4/1/17 6:00,0.061785714,-0.054798111
4/1/17 7:00,0.049438776,-0.043943109
4/1/17 8:00,0.052823129,-0.04684167
4/1/17 9:00,0.047465986,-0.042126021
4/1/17 10:00,0.051581633,-0.045727066
4/1/17 11:00,0.052380952,-0.046424463
4/1/17 12:00,0.049880952,-0.044261616
4/1/17 13:00,0.040663265,-0.036223987
4/1/17 14:00,0.04707483,-0.041897497
4/1/17 15:00,0.040833333,-0.036473073
4/1/17 16:00,0.036853741,-0.033033399
4/1/17 17:00,0.033996599,-0.030572329
4/1/17 18:00,0.037908163,-0.034041754
4/1/17 19:00,0.031241497,-0.028211166
4/1/17 20:00,0.034370748,-0.031004767
4/1/17 21:00,0.019642857,-0.017997846
4/1/17 22:00,0.03255102,-0.02942992
4/1/17 23:00,0.023894558,-0.021775244
4/2/17 0:00,0.016207483,-0.014990259
4/2/17 1:00,0.028095238,-0.025499764
4/2/17 2:00,0.030306122,-0.027467777
4/2/17 3:00,0.030646259,-0.027767827
4/2/17 4:00,0.026904762,-0.024437199
4/2/17 5:00,0.021666667,-0.019801527
4/2/17 6:00,0.025561224,-0.023229666
4/2/17 7:00,0.033078231,-0.029862553
4/2/17 8:00,0.016343537,-0.015057438
4/2/17 9:00,0.026156463,-0.023726009
4/2/17 10:00,0.015085034,-0.013940595
4/2/17 11:00,0.020017007,-0.018304701
4/2/17 12:00,0.016547619,-0.015246105
4/2/17 13:00,0.014115646,-0.013113594
4/2/17 14:00,0.014608844,-0.01354259
4/2/17 15:00,0.021207483,-0.019401183
4/2/17 16:00,0.019897959,-0.018270191
4/2/17 17:00,0.016343537,-0.015133222
4/2/17 18:00,0.014914966,-0.013868946
4/2/17 19:00,0.015289116,-0.014220729
4/2/17 20:00,0.010017007,-0.009539371
4/2/17 21:00,-0.000119048,-0.000526671
4/2/17 22:00,0.00042517,-0.000998194
4/2/17 23:00,-0.00712585,0.00568817
4/3/17 0:00,-0.006955782,0.005532642
4/3/17 1:00,-0.004829932,0.003661458
4/3/17 2:00,-0.011666667,0.009711817
4/3/17 3:00,-0.009591837,0.007865758
4/3/17 4:00,-0.010833333,0.008968899
4/3/17 5:00,-0.010833333,0.008981203
4/3/17 6:00,-0.01797619,0.015289678
4/3/17 7:00,-0.00292517,0.001959601
4/3/17 8:00,-0.005289116,0.004061833
4/3/17 9:00,0.006853741,-0.006698645
4/3/17 10:00,0.019472789,-0.017885527
4/3/17 11:00,0.016020408,-0.014830811
4/3/17 12:00,0.033996599,-0.030759939
4/3/17 13:00,0.036615646,-0.033113511
4/3/17 14:00,0.024047619,-0.021986469
4/3/17 15:00,0.025969388,-0.023717961
4/3/17 16:00,0.015238095,-0.014180401
4/3/17 17:00,0.001088435,-0.001588019
4/3/17 18:00,-0.002755102,0.001828427
4/3/17 19:00,-0.013418367,0.011291852
4/3/17 20:00,-0.023367347,0.020111004
4/3/17 21:00,-0.026479592,0.022873461
4/3/17 22:00,-0.028231293,0.024427269
4/3/17 23:00,-0.019013605,0.016229994
4/4/17 0:00,-0.019965986,0.017080813
4/4/17 1:00,-0.001258503,0.000491629
4/4/17 2:00,0.008367347,-0.008070144
4/4/17 3:00,0.019030612,-0.017542427
4/4/17 4:00,0.024404762,-0.02231089
4/4/17 5:00,0.026088435,-0.023807187
4/4/17 6:00,0.029744898,-0.027046841
4/4/17 7:00,0.038214286,-0.034532619
4/4/17 8:00,0.03537415,-0.031991839
4/4/17 9:00,0.039353741,-0.035504014
4/4/17 10:00,0.052789116,-0.047364304
4/4/17 11:00,0.051292517,-0.046032877
4/4/17 12:00,0.054115646,-0.048541304
4/4/17 13:00,0.057295918,-0.051413643
4/4/17 14:00,0.059795918,-0.053685084
4/4/17 15:00,0.045442177,-0.04101548
4/4/17 16:00,0.048333333,-0.043648124
4/4/17 17:00,0.04287415,-0.038865423
4/4/17 18:00,0.035442177,-0.032274506
4/4/17 19:00,0.026683673,-0.024470829
4/4/17 20:00,0.018061224,-0.016778167
4/4/17 21:00,0.001989796,-0.002405098
4/4/17 22:00,-0.000510204,-0.000176252
4/4/17 23:00,-0.02122449,0.018286036
4/5/17 0:00,-0.030153061,0.026246989
4/5/17 1:00,-0.031462585,0.027391004
4/5/17 2:00,-0.033214286,0.028933271
4/5/17 3:00,-0.035136054,0.030631301
4/5/17 3:59,-0.032823129,0.028565469
4/5/17 4:59,-0.028860544,0.025024087
4/5/17 5:59,-0.026564626,0.022969177
4/5/17 6:59,-0.016326531,0.01388055
4/5/17 7:59,-0.015952381,0.013540495
4/5/17 8:59,-0.020986395,0.018001223
4/5/17 9:59,-0.023146259,0.019929794
4/5/17 10:59,-0.019863946,0.016996074
4/5/17 11:59,-0.022278912,0.0191433
4/5/17 12:59,-0.016564626,0.014070215
4/5/17 13:59,-0.00579932,0.004507088
4/5/17 14:59,0.001173469,-0.001674796
4/5/17 15:59,0.023112245,-0.021209684
4/5/17 16:59,0.025935374,-0.023751583
4/5/17 17:59,0.035442177,-0.03230312
4/5/17 18:59,0.03207483,-0.029316013
