time,hy_grad,avg_flux,Sensor(-0.55m),Sensor(-0.45m),Sensor(-0.35m),Sensor(-0.25m),Sensor(-0.15m),Sensor(-0.05m)
4/2/2017 17:00,0.016343537,-0.015133222,-0.01638882,-0.01626563,-0.01608034,-0.01580463,-0.01513883,-0.009785043
4/2/2017 18:00,0.014914966,-0.013868946,-0.01501958,-0.01490641,-0.01473641,-0.0144838,-0.01387449,-0.008968361
4/2/2017 19:00,0.015289116,-0.014220729,-0.01539981,-0.01528379,-0.01510964,-0.01485111,-0.01422767,-0.00919739
4/2/2017 20:00,0.010017007,-0.009539371,-0.01033038,-0.01025234,-0.0101354,-0.009961974,-0.009544106,-0.006169874
4/2/2017 21:00,-0.000119048,-0.000526671,-0.000571557,-0.000566648,-0.000559543,-0.000549222,-0.000525461,-0.000339294
4/2/2017 22:00,0.00042517,-0.000998194,-0.001081681,-0.001073161,-0.001060531,-0.001041922,-0.000997824,-0.000644858
4/2/2017 23:00,-0.00712585,0.00568817,0.006157094,0.006111515,0.006043203,0.005941781,0.005694632,0.003682063
4/3/2017 0:00,-0.006955782,0.005532642,0.005989275,0.005944676,0.005877963,0.005779007,0.005538272,0.003580754
4/3/2017 1:00,-0.004829932,0.003661458,0.003964273,0.003934413,0.00388993,0.003824105,0.003664451,0.002369025
4/3/2017 2:00,-0.011666667,0.009711817,0.01051363,0.01043535,0.01031821,0.01014429,0.009721239,0.006284977
4/3/2017 3:00,-0.009591837,0.007865758,0.00851532,0.008451871,0.008356936,0.008215977,0.007873159,0.005090031
4/3/2017 4:00,-0.010833333,0.008968899,0.009709543,0.009637264,0.009529066,0.009368324,0.008977294,0.005803781
4/3/2017 5:00,-0.010833333,0.008981203,0.009723008,0.009650605,0.00954222,0.009381161,0.008989379,0.00581146
4/3/2017 6:00,-0.01797619,0.015289678,0.01655185,0.01642909,0.01624502,0.01597115,0.01530427,0.009894033
4/3/2017 7:00,-0.00292517,0.001959601,0.002122663,0.002106197,0.002081901,0.002046098,0.001959976,0.00126664
4/3/2017 8:00,-0.005289116,0.004061833,0.004397969,0.004364927,0.004315614,0.004242403,0.004064703,0.002627407
4/3/2017 9:00,0.006853741,-0.006698645,-0.007249783,-0.007196622,-0.007116572,-0.00699753,-0.00670774,-0.004337912
4/3/2017 10:00,0.019472789,-0.017885527,-0.01935925,-0.01921656,-0.01900226,-0.01868351,-0.01790656,-0.01157807
4/3/2017 11:00,0.016020408,-0.014830811,-0.01605432,-0.01593567,-0.0157576,-0.0154925,-0.01484586,-0.009597736
4/3/2017 12:00,0.033996599,-0.030759939,-0.03330037,-0.03305399,-0.03268382,-0.03213186,-0.0307865,-0.01990133
4/3/2017 13:00,0.036615646,-0.033113511,-0.03585158,-0.03558552,-0.03518554,-0.03458896,-0.03313743,-0.02141981
4/3/2017 14:00,0.024047619,-0.021986469,-0.02380714,-0.02362946,-0.02336256,-0.02296476,-0.02199883,-0.01421892
4/3/2017 15:00,0.025969388,-0.023717961,-0.02568322,-0.02549104,-0.02520235,-0.02477233,-0.02372984,-0.0153378
4/3/2017 16:00,0.015238095,-0.014180401,-0.01535645,-0.01524105,-0.01506789,-0.01481016,-0.01418619,-0.009168908
4/3/2017 17:00,0.001088435,-0.001588019,-0.001721133,-0.001707448,-0.0016873,-0.001657636,-0.00158703,-0.001025192
4/3/2017 18:00,-0.002755102,0.001828427,0.001978657,0.001964319,0.001942601,0.00191021,0.001831048,0.00118427
4/3/2017 19:00,-0.013418367,0.011291852,0.01222361,0.01213294,0.01199678,0.0117945,0.0113035,0.007308765
4/3/2017 20:00,-0.023367347,0.020111004,0.02177086,0.02160923,0.02136662,0.02100615,0.02013125,0.01301633
4/3/2017 21:00,-0.026479592,0.022873461,0.02476111,0.02457748,0.02430176,0.02389188,0.02289661,0.01480417
4/3/2017 22:00,-0.028231293,0.024427269,0.02644309,0.02624711,0.02595278,0.02551507,0.02445193,0.0158096
4/3/2017 23:00,-0.019013605,0.016229994,0.01757046,0.01743967,0.01724353,0.01695207,0.01624502,0.01050298
4/4/2017 0:00,-0.019965986,0.017080813,0.01849134,0.01835386,0.01814759,0.01784097,0.01709682,0.01105365
4/4/2017 1:00,-0.001258503,0.000491629,0.000534353,0.000529211,0.000522077,0.000512052,0.0004896,0.000315991
4/4/2017 2:00,0.008367347,-0.008070144,-0.008734674,-0.008670966,-0.008574616,-0.008430577,-0.008079744,-0.005224492
4/4/2017 3:00,0.019030612,-0.017542427,-0.0189893,-0.01884914,-0.01863814,-0.01832385,-0.01756096,-0.01135491
4/4/2017 4:00,0.024404762,-0.02231089,-0.0241513,-0.02397249,-0.02370382,-0.02330419,-0.02233458,-0.01444164
4/4/2017 5:00,0.026088435,-0.023807187,-0.02577075,-0.02557981,-0.02529324,-0.02486718,-0.023833,-0.01541053
4/4/2017 6:00,0.029744898,-0.027046841,-0.02927703,-0.02906037,-0.02873528,-0.02825173,-0.02707678,-0.01750767
4/4/2017 7:00,0.038214286,-0.034532619,-0.03737925,-0.03710335,-0.03668907,-0.03607217,-0.03457141,-0.02235307
4/4/2017 8:00,0.03537415,-0.031991839,-0.03462977,-0.03437422,-0.03399032,-0.03341828,-0.03202643,-0.02070663
4/4/2017 9:00,0.039353741,-0.035504014,-0.03843318,-0.0381495,-0.037723,-0.03708705,-0.03553971,-0.02297672
4/4/2017 10:00,0.052789116,-0.047364304,-0.05127445,-0.05089585,-0.05032597,-0.04947578,-0.04740803,-0.03064813
4/4/2017 11:00,0.051292517,-0.046032877,-0.04983711,-0.04946775,-0.04891187,-0.04808306,-0.04607008,-0.02978178
4/4/2017 12:00,0.054115646,-0.048541304,-0.05255644,-0.05216548,-0.05157737,-0.05070126,-0.04857594,-0.03140071
4/4/2017 13:00,0.057295918,-0.051413643,-0.05567048,-0.05525449,-0.05462942,-0.05369923,-0.05144511,-0.03325426
4/4/2017 14:00,0.059795918,-0.053685084,-0.0581328,-0.05769658,-0.05704209,-0.05606939,-0.05371483,-0.03472142
4/4/2017 15:00,0.045442177,-0.04101548,-0.04441578,-0.04408095,-0.04357952,-0.04283525,-0.04103576,-0.02652549
4/4/2017 16:00,0.048333333,-0.043648124,-0.04726637,-0.04690961,-0.04637589,-0.04558422,-0.04367049,-0.02822937
4/4/2017 17:00,0.04287415,-0.038865423,-0.04208632,-0.04176842,-0.04129335,-0.04058906,-0.03888694,-0.02513822
4/4/2017 18:00,0.035442177,-0.032274506,-0.03494853,-0.03468442,-0.03429007,-0.0337057,-0.03229353,-0.02087657
4/4/2017 19:00,0.026683673,-0.024470829,-0.02649773,-0.02629754,-0.02599877,-0.02555608,-0.02448612,-0.01582968
4/4/2017 20:00,0.018061224,-0.016778167,-0.01816779,-0.01803047,-0.01782562,-0.01752215,-0.01678887,-0.01085373
4/4/2017 21:00,0.001989796,-0.002405098,-0.002606088,-0.002585443,-0.002555076,-0.002510529,-0.002404522,-0.001554002
4/4/2017 22:00,-0.000510204,-0.000176252,-0.000192021,-0.00018997,-0.000187165,-0.000183283,-0.000174973,-0.000112803
4/4/2017 23:00,-0.02122449,0.018286036,0.01979426,0.01964787,0.01942824,0.01910134,0.01830518,0.01183514
4/5/2017 0:00,-0.030153061,0.026246989,0.02841249,0.02820213,0.02788654,0.02741687,0.02627364,0.01698685
4/5/2017 1:00,-0.031462585,0.027391004,0.02965137,0.02943169,0.0291021,0.02861162,0.02741821,0.01772664
4/5/2017 2:00,-0.033214286,0.028933271,0.03132113,0.03108907,0.03074083,0.03022253,0.0289617,0.01872441
4/5/2017 3:00,-0.035136054,0.030631301,0.03315944,0.03291378,0.03254506,0.0319962,0.03066118,0.01982305
4/5/2017 3:59,-0.032823129,0.028565469,0.03092354,0.03069429,0.03035022,0.02983808,0.02859277,0.01848559
4/5/2017 4:59,-0.028860544,0.025024087,0.02709051,0.02688937,0.02658759,0.02613853,0.02504714,0.01619304
4/5/2017 5:59,-0.026564626,0.022969177,0.02486613,0.02468144,0.02440435,0.02399202,0.02299004,0.01486299
4/5/2017 6:59,-0.016326531,0.01388055,0.01502817,0.01491589,0.01474776,0.01449786,0.01389164,0.008980488
4/5/2017 7:59,-0.015952381,0.013540495,0.01466001,0.0145505,0.0143865,0.01414272,0.01355128,0.008760423
4/5/2017 8:59,-0.020986395,0.018001223,0.01948799,0.0193433,0.01912614,0.0188029,0.01801735,0.01164803
4/5/2017 9:59,-0.023146259,0.019929794,0.02157552,0.02141552,0.02117527,0.02081752,0.01994803,0.01289637
4/5/2017 10:59,-0.019863946,0.016996074,0.01840011,0.01826335,0.01805811,0.01775265,0.01701097,0.01099754
4/5/2017 11:59,-0.022278912,0.0191433,0.02072428,0.02057045,0.02033946,0.01999558,0.01916064,0.01238764
4/5/2017 12:59,-0.016564626,0.014070215,0.01523309,0.01511952,0.01494919,0.01469588,0.01408198,0.009104214
4/5/2017 13:59,-0.00579932,0.004507088,0.004881589,0.004844115,0.004788407,0.00470608,0.004508472,0.002914425
4/5/2017 14:59,0.001173469,-0.001674796,-0.001811035,-0.001798871,-0.001779982,-0.001751143,-0.001678623,-0.001085337
